ge,du
10397,105
7169,105
10159,105
5692,105
657,105
5933,105
64794,105
5868,105
3105,104
4926,104
10015,104
468,104
80258,104
2773,104
51142,104
22995,104
57594,104
4001,104
5432,104
7408,104
255626,104
57142,104
5971,104
7128,104
25873,104
2495,104
11156,104
51588,104
84914,104
84759,104
25820,104
1410,104
861,104
3310,103
7454,103
63893,103
9277,103
54464,103
9939,103
5764,103
54472,103
335,103
94234,103
8473,103
253260,103
5581,103
11340,103
123722,103
9559,103
5575,103
3359,103
3815,103
892,103
220717,102
4591,102
29922,102
701,102
56342,102
5691,102
117246,102
6742,102
26227,102
55506,102
8399,102
8767,102
1207,102
55771,102
23641,102
2253,102
9113,102
65061,102
23368,102
3182,102
581,102
26019,102
55630,102
23352,101
1647,101
9135,101
29997,101
51545,101
146664,101
6197,101
5719,101
84365,101
162,101
4175,101
29888,101
9184,101
773,101
56928,101
10813,101
2959,101
83932,101
2782,101
5305,101
55248,101
829,101
11160,100
322,100
10928,100
2962,100
6901,100
79065,100
1058,100
8312,100
64768,100
26206,100
58500,100
51213,100
10142,100
2622,100
2669,100
3159,100
128866,100
2623,100
25886,100
10970,100
57532,100
358,100
11130,100
9730,100
149371,100
3880,100
8631,100
5685,100
23598,100
54880,100
55048,99
10403,99
1975,99
2776,99
2874,99
4222,99
64965,99
55666,99
7535,99
3398,99
3306,99
9001,99
4173,99
117144,99
10910,99
79159,99
85294,99
613,98
51400,98
5201,98
55930,98
7919,98
5431,98
9149,98
10615,98
10096,98
9454,98
170954,98
6184,98
51019,98
84254,98
8241,98
3718,98
10038,98
54865,98
84676,98
4637,98
2770,98
3845,98
4628,98
7037,97
5690,97
122183,97
57695,97
4659,97
4726,97
51602,97
832,97
55588,97
8533,97
3337,97
7434,97
10817,97
6389,97
23542,97
4350,97
55869,97
187,97
7175,97
29781,97
5718,97
51100,97
51065,97
88,96
9734,96
9821,96
645455,96
1601,96
2103,96
51138,96
8663,96
347688,96
840,96
3603,96
79001,96
163183,96
284369,96
55658,96
84619,96
539,96
23612,96
4772,96
11052,96
25953,96
26354,96
55626,96
4793,96
7022,96
10844,96
6154,95
3868,95
29127,95
10130,95
8573,95
6383,95
5984,95
81027,95
3843,95
2975,95
675,95
9051,95
330,95
6434,95
22954,95
3113,95
6159,95
55844,95
4735,95
84675,95
525,95
23560,95
5092,95
6491,95
4654,95
7265,95
54793,95
25898,94
57562,94
127343,94
10490,94
7818,94
5536,94
3886,94
56915,94
9402,94
23607,94
1201,94
27252,94
56947,94
64326,94
5621,94
5129,94
8928,94
2317,94
2580,94
6615,94
56254,94
55142,94
1314,94
5598,94
29121,94
10109,94
6294,94
9793,94
9554,94
8379,94
196441,94
1315,94
10808,94
113878,94
56658,94
9322,93
79869,93
6722,93
7417,93
23039,93
10527,93
11059,93
8976,93
3839,93
4683,93
31,93
9564,93
9093,93
719,93
1912,93
23107,93
23466,93
7572,93
8559,93
4287,93
90480,93
10542,93
50813,93
8463,93
50943,93
638,93
55758,93
2956,93
222484,93
3735,92
6303,92
7328,92
5307,92
10421,92
23476,92
23481,92
3993,92
374291,92
5290,92
6696,92
10642,92
8880,92
1965,92
7249,92
23054,92
6235,92
871,92
9025,92
143884,92
3010,92
4905,92
3920,92
10915,92
641,92
153241,92
55729,92
2931,91
3358,91
23019,91
84612,91
55577,91
5985,91
80306,91
57805,91
898,91
7073,91
23640,91
3956,91
2288,91
8550,91
10772,91
7188,91
4867,91
4004,91
2309,91
8022,91
89885,91
57459,91
29086,91
55362,91
29766,91
6810,91
145282,91
9961,91
4155,91
2549,90
9021,90
84970,90
5862,90
23534,90
50618,90
10131,90
11218,90
114971,90
5496,90
4615,90
476,90
1667,90
10712,90
5520,90
1649,90
11284,90
221937,90
10693,90
573,90
1789,90
6741,90
8664,90
10616,90
2934,90
5861,90
27342,90
284119,90
10363,90
2197,89
85293,89
9968,89
3691,89
9555,89
2290,89
150483,89
64963,89
10713,89
526,89
7443,89
7272,89
10765,89
3219,89
1003,89
2175,89
3032,89
9406,89
6259,89
84447,89
3030,89
4665,89
60485,89
488,89
51726,89
2268,89
9810,89
495,89
7325,89
5195,89
7343,88
7319,88
5436,88
27044,88
3856,88
23673,88
208,88
391257,88
25828,88
27287,88
54550,88
84528,88
8417,88
84707,88
56852,88
54682,88
57506,88
6727,88
10460,88
7515,88
9295,88
10523,88
81628,88
55299,88
23603,88
10294,88
3069,88
10592,88
1478,87
3550,87
9933,87
25843,87
8570,87
84330,87
5714,87
55737,87
57504,87
2664,87
10212,87
347733,87
10940,87
339834,87
8667,87
8772,87
57473,87
146540,87
5757,87
1969,87
8649,87
9841,87
6811,87
2778,87
1933,87
9040,87
7086,87
9685,87
58490,87
5906,87
116173,87
79705,87
1674,86
4751,86
1859,86
85403,86
83746,86
54903,86
8030,86
4928,86
55898,86
22803,86
9070,86
8724,86
7812,86
10643,86
28964,86
80764,86
3860,86
10985,86
340359,86
6478,86
1643,86
30000,86
79876,86
5528,85
9470,85
3141,85
84902,85
5910,85
55379,85
2688,85
9987,85
132884,85
5451,85
10036,85
55031,85
10452,85
5782,85
70,85
1759,85
50809,85
433,85
640,85
25885,85
5292,85
2617,85
22897,85
25929,85
8900,85
23178,85
6327,85
6721,85
79727,85
10252,85
4522,85
6777,85
8313,84
29966,84
6844,84
6314,84
65005,84
55011,84
4131,84
7001,84
51003,84
2189,84
4085,84
26146,84
5954,84
55885,84
64927,84
140890,84
53371,84
9638,84
238,84
114928,84
57144,84
4719,84
515,84
9351,84
353140,84
396,84
4342,84
6047,84
7706,84
4036,84
84260,84
84866,84
22920,84
388818,84
5202,84
5609,84
3831,84
80705,83
5695,83
5445,83
5930,83
6455,83
7320,83
112869,83
7508,83
140801,83
84450,83
5424,83
79016,83
23421,83
10667,83
5586,83
816,83
51562,83
59349,83
8409,83
56288,83
29947,83
284427,83
2950,83
285753,83
4100,83
116115,83
4602,82
79571,82
11034,82
92345,82
54512,82
8915,82
55037,82
337959,82
55871,82
4739,82
79657,82
10551,82
990,82
8412,82
4170,82
51150,82
83901,82
55172,82
51053,82
5394,82
818,82
3416,82
7068,82
163786,82
11315,82
197131,82
5929,82
10868,82
27005,82
5216,82
1855,82
9444,82
4646,81
6801,81
54148,81
23517,81
10016,81
3842,81
10869,81
9440,81
9341,81
602,81
2319,81
28976,81
54888,81
79734,81
9111,81
57599,81
9883,81
11244,81
868,81
7905,81
8148,81
8899,81
6396,81
5979,81
4281,81
148066,81
440023,81
51684,81
9342,81
28952,81
6257,81
2264,81
5155,81
55284,81
7852,81
23408,81
1600,81
54785,81
1741,81
2041,81
170572,81
4701,81
1896,81
4695,80
8717,80
55090,80
5479,80
4301,80
26505,80
11045,80
1615,80
3059,80
970,80
65993,80
388569,80
8974,80
2625,80
2192,80
8301,80
7410,80
9512,80
5788,80
6934,80
6185,80
1974,80
5252,80
84617,80
6093,80
91694,80
9688,80
10916,80
993,80
3945,80
3298,80
8615,80
161291,80
221188,80
4836,80
116412,79
23623,79
10567,79
192111,79
7391,79
3363,79
10606,79
5582,79
8764,79
93436,79
1153,79
60488,79
23299,79
653121,79
2305,79
8335,79
6629,79
3615,79
54433,79
6778,79
63978,79
11186,79
154386,79
11161,79
1121,79
5664,79
147700,79
283208,79
3861,79
9667,79
4055,79
5587,79
65003,79
55210,79
192670,79
3965,79
226,79
79072,79
23112,78
3500,78
23071,78
3693,78
53347,78
5297,78
54778,78
27120,78
4250,78
83896,78
3726,78
10277,78
9189,78
83444,78
84868,78
667,78
10054,78
51517,78
6642,78
8531,78
51691,78
1000,78
10298,78
65008,78
5720,78
222389,78
25939,78
2304,78
5241,78
202500,78
332,78
1962,78
162427,78
7353,78
4218,78
10884,78
5898,78
51593,78
3884,78
191,78
55722,78
56478,78
254827,78
10935,78
63898,78
22820,78
9031,78
9413,78
55131,78
10240,77
28996,77
1948,77
10020,77
1163,77
11146,77
11127,77
51720,77
10762,77
9230,77
4800,77
57510,77
54606,77
989,77
7407,77
8687,77
55662,77
2355,77
1500,77
5530,77
8204,77
65057,77
904,77
85440,77
8078,77
26156,77
134359,77
6654,77
5105,77
3493,77
8795,77
8328,77
81609,77
159989,77
58517,77
1877,77
1277,77
6456,77
6651,77
2307,77
259266,76
4141,76
6924,76
2237,76
254950,76
6881,76
54870,76
10618,76
135398,76
1152,76
7726,76
4854,76
10049,76
